name,author,press,year,price,score,num,quote
笑傲江湖（全四册）,金庸, 生活·读书·新知三联书店 ,1994,76.8,9,83907,欲练此功，必先自宫
杀死一只知更鸟,[美] 哈珀·李, 译林出版社 ,2012,32,9.2,66492,有一种东西不能遵循从众原则，那就是——人的良心
月亮和六便士,[英] 毛姆, 上海译文出版社 ,2006,15,9,117795,有多少人会经历顿悟，就有更少的人甘愿自我放逐
肖申克的救赎,[美] 斯蒂芬·金, 人民文学出版社 ,2006,29.9,9.1,79643,豆瓣电影Top1原著
基督山伯爵,大仲马, 上海译文出版社 ,1991,43.9,9,94862,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
中国历代政治得失,钱穆, 生活·读书·新知三联书店 ,2001,12,9.2,39562,一部简明的“中国政治制度史”
追风筝的人,[美] 卡勒德·胡赛尼, 上海人民出版社 ,2006,29,8.9,618577,为你，千千万万遍
东方快车谋杀案,[英] 阿加莎·克里斯蒂, 人民文学出版社 ,2006,18,9,89759,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇, 生活·读书·新知三联书店 ,1997,18,8.9,134674,见微知著，历史观的颠覆
嫌疑人X的献身,[日] 东野圭吾, 南海出版公司 ,2008,28,8.9,389765,数学好是一种极致的浪漫
夹边沟记事,杨显惠, 花城出版社 ,2008,34,9.2,24938,一段尘封四十年的历史
"寻路中国

                
                   : 从乡村到工厂的自驾之旅",[美] 彼得·海斯勒, 上海译文出版社 ,2011,33,9,39679,《纽约客》驻北京记者驾车漫游中国大陆的经历
刀锋,[英]毛姆, 上海译文出版社 ,2007,18,9,51200,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
江城,[美] 彼得·海斯勒, 上海译文出版社 ,2012,36,9,34820,外国人眼中的涪陵
呐喊,鲁迅, 人民文学出版社 ,1973年3月,0.36,8.9,83320,新文学的第一声呐喊
射雕英雄传（全四册）,金庸, 生活·读书·新知三联书店 ,1999,47,9,60595,侠之大者，为国为民
"冰与火之歌

                
                   : （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂",[美]乔治·R.R.马丁, 重庆出版社 ,2013,330,9.5,7302,乔治·R·R·马丁史诗奇幻小说
傲慢与偏见,[英] 奥斯丁, 人民文学出版社 ,1993,13,8.8,177249,所有现代言情小说的母体
"城南旧事

                
                   : 纪念普及版",林海音 文, 中国青年出版社 ,2003,16,9,89970,长亭外，古道边，芳草碧连天
乡土中国,费孝通, 上海人民出版社 ,2006,38,9.2,31021,中国乡土社会传统文化和社会结构理论研究代表作
"新名字的故事

                
                   : 那不勒斯四部曲-02",[意] 埃莱娜·费兰特, 人民文学出版社 ,2017,59,9,39260,探索青年时代的激情、困惑、挣扎、背叛和失去
格林童话全集,[德国]格林兄弟, 人民文学出版社 ,1994,21.45,9,64423,一本有教育意义的书
"黄金时代

                
                   : 时代三部曲",王小波, 花城出版社 ,1999,19,8.8,117864,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
"历史深处的忧虑

                
                   : 近距离看美国之一",林达, 生活·读书·新知三联书店 ,1997,19,9,35148,窥见美国社会的一扇窗
"我与地坛

                
                   : 史铁生代表作",史铁生, 春风文艺出版社 ,2002,25,9.1,53131,这是你的罪孽与福祉
"失踪的孩子

                
                   : 那不勒斯四部曲-04",[意] 埃莱娜·费兰特, 人民文学出版社 ,2018,62,9.1,29696,我的整个生命，只是一场为了提升社会地位的低俗斗争。
无人生还,[英] 阿加莎?克里斯蒂, 人民文学出版社 ,2008,19,8.9,91760,童谣杀人案
"文学回忆录（全2册）

                
                   : 1989—1994",木心 口述, 广西师范大学出版社 ,2013,98,9.2,31849,木心留给世界的礼物
神雕侠侣,金庸, 生活·读书·新知三联书店 ,1994,76.8,8.9,76513,至情至性，情大于武
"上帝掷骰子吗

                
                   : 量子物理史话",曹天元, 辽宁教育出版社 ,2006,32,9.2,20310,量子物理史话
悲惨世界（上中下）,[法] 雨果, 人民文学出版社 ,1992,66,9,46658,现实主义与浪漫主义的至高杰作
史记（全十册）,司马迁, 中华书局 ,1982,125,9.5,15553,史家之绝唱，无韵之离骚
许三观卖血记,余华, 南海出版公司 ,1998,16.8,8.8,180753,以博大的温情描绘磨难中的人生
看见,柴静, 广西师范大学出版社 ,2013,39.8,8.8,263184,在这里看见中国
哭泣的骆驼,三毛, 哈尔滨出版社 ,2003,15.8,8.9,42673,沙漠中寻常的生与死
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich), 广西美术出版社 ,2008,280,9.6,13368,从最早的洞窟绘画到当今的实验艺术
"白鹿原

                
                   : 20周年精装典藏版",陈忠实, 人民文学出版社 ,2012,39,9.2,35494,一轴关于我们民族灵魂的现实主义画卷
浪潮之巅,吴军, 电子工业出版社 ,2011,55,9,25235,了解IT领域的入门读物
灿烂千阳,[美] 卡勒德·胡赛尼, 上海人民出版社 ,2007,28,8.8,87392,唯有希望与爱可以驱散阴霾
卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基, 上海译文出版社 ,2006,25,9.4,13392,错综复杂的社会、家庭矛盾和人性悲剧
树上的男爵,[意大利]伊塔洛·卡尔维诺, 译林出版社 ,2012,30,9.1,20517,是不是真的只有先与人疏离，才能最终与他们在一起？
邓小平时代,[美] 傅高义, 生活·读书·新知三联书店 ,2013,88,9.1,25318,个人命运背后的历史变局
爱你就像爱生命,王小波, 上海锦绣文章出版社 ,2008,18,8.8,79248,王小波与李银河的两地书
人间词话,王国维, 上海古籍出版社 ,1998,9.8,9,36893,以新眼光评旧文学
窗边的小豆豆,[日] 黑柳彻子 著, 南海出版公司 ,2003,20,8.7,148761,真正懂孩子的教育经
台北人,白先勇, 广西师范大学出版社 ,2010,38,8.9,31487,白先勇短篇小说集
"永恒的终结

                
                   : 关于时间旅行的终极奥秘和恢宏构想",[美] 艾萨克·阿西莫夫, 江苏凤凰文艺出版社 ,2014,32,9,21889,关于时间旅行的终极奥秘和恢宏构想
诗经,孔丘 编订, 北京出版社 ,2006,19.9,9.4,15069,思无邪
我们仨,杨绛, 生活·读书·新知三联书店 ,2003,18.8,8.7,225490,家庭生活回忆录
西游记（全二册）,吴承恩, 人民文学出版社 ,2004,47.2,8.9,53981,神魔皆有人情，精魅亦通世故
"巨人的陨落

                
                   : 世纪三部曲",[英] 肯·福莱特, 江苏凤凰文艺出版社 ,2016,129.8,8.9,63352,五个家族，一场战争
悉达多,[德] 赫尔曼·黑塞, 上海人民出版社 ,2009,20,9,22857,在那最绝望的一刹那，他突然听到了生命之河永恒的声音
这些人，那些事,吴念真, 译林出版社 ,2011,28,8.8,54538,平淡叙述下的惊心动魄
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼, 四川文艺出版社 ,2015,35,9,30911,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
道德经精义,黄元吉, 陕西人民出版社 ,1996,4.5,9.4,12268,中国历史上首部完整的哲学著作
教父,[美]马里奥·普佐, 译林出版社 ,1997,23.3,9,29780,“教父三部曲”电影原著
看不见的城市,[意大利]伊塔洛·卡尔维诺, 译林出版社 ,2006,16,8.8,33088,每一座城市都只在想象中耸立，又在描述中坍圮
"呼兰河传

                
                   : 1947年版本?原版珍藏",萧红, 百花文艺出版社 ,2005,19,8.9,50057,萧红的童年往事
"最好的告别

                
                   : 关于衰老与死亡，你必须知道的常识",[美] 阿图·葛文德（Atul Gawande）, 浙江人民出版社 ,2015,54.9,9,22157,关于衰老与死亡，你必须知道的常识
海子的诗,海子, 人民文学出版社 ,1999,15.4,8.9,31109,无
飞鸟集,[印] 罗宾德拉纳德·泰戈尔, 哈尔滨出版社 ,2004,16.8,8.9,47670,一个淡泊清透的世界
鹿鼎记（全五册）,金庸, 广州出版社 花城出版社 ,2008,108,8.8,43420,武侠的解构，流氓的狂欢
梦里花落知多少,三毛, 北京十月文艺出版社 ,2007,28,8.8,71489,哀而不伤
朝花夕拾,鲁迅, 人民文学出版社 ,1972年4月,0.25,8.8,77962,在纷扰中寻出一点闲静
斯通纳,[美] 约翰·威廉斯, 上海人民出版社 ,2016,39,8.8,30607,即使不能拥有完美的生活，所幸追求过完整的自我
唐诗三百首,蘅塘退士,暂无,1998,0.65,9.3,12233,熟读唐诗三百首，不会吟诗也会吟
人生的枷锁,[英] 毛姆, 上海译文出版社 ,2007,32,9,18437,在混沌纷扰的生活漩流中，寻求人生的真谛
边城,沈从文, 北岳文艺出版社 ,2002,12,8.7,169630,一切充满了善，然而到处是不凑巧
罗杰疑案,[英] 阿加莎·克里斯蒂, 人民文学出版社 ,2006,21,8.9,25788,阿加莎·克里斯蒂代表作
"时间简史

                
                   : 插图本",[英] 史蒂芬·霍金, 湖南科学技术出版社 ,2010,45,8.8,44056,探索时间和空间的核心秘密
金色梦乡,[日] 伊坂幸太郎, 译林出版社 ,2010,35,9,17588,伊坂幸太郎代表作
王尔德童话,[英] 王尔德, 译林出版社 ,2003,6,9.1,14461,一颗纯美纯善、永难泯灭的童心
陆犯焉识,严歌苓, 作家出版社 ,2011,35,8.8,41453,翻手为苍凉，覆手为繁华
一个陌生女人的来信,[奥] 斯台芬·茨威格, 上海译文出版社 ,2007,20,8.7,100739,暗恋的极致
冬牧场,李娟, 新星出版社 ,2012,29.8,9,16229,阿勒泰的精灵
"叫魂

                
                   : 1768年中国妖术大恐慌",[美] 孔飞力, 生活·读书·新知三联书店 上海三联书店 ,2012,38,9,17399,1768年中国妖术大恐慌
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗, 南海出版公司 ,2019,59,9,34194,我来自一个极少有人能想象的家庭，教育给了我新世界
人生的智慧,[德] 阿图尔·叔本华, 上海人民出版社 ,2008,28,9.2,14270,对世俗、实用问题深刻而透彻的讨论
美的历程,李泽厚, 生活·读书·新知三联书店 ,2009,43,9.2,14247,中国美学经典之作
孩子你慢慢来,龙应台, 生活·读书·新知三联书店 ,2009,28,8.8,58570,我们现在怎样做母亲
_史大_（上下）,_穆,暂无,2013,76,0,9.3,11664
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森, 中信出版社 ,2011,68,8.7,45310,完美主义者的最高形态
爱的艺术,[美] 艾·弗洛姆, 上海译文出版社 ,2008,15,8.8,27035,谦恭地、勇敢地、真诚地和有纪律地爱他人
苏菲的世界,[挪] 乔斯坦·贾德, 作家出版社 ,2007,26,8.8,33470,哲学启蒙书
彷徨,鲁迅, 人民文学出版社 ,1973年3月,0.37,8.9,19364,路漫漫其修远兮，吾将上下而求索
九州·缥缈录,江南, 人民文学出版社 ,2015,198,8.9,3314,一轴腥风血雨的乱世长卷，中国版《冰与火之歌》
"我也有一个梦想

                
                   : 近距离看美国之三",林达, 生活·读书·新知三联书店 ,2004,25,9,12539,在法治国家里，民众怎样运用法律
浮生六记,（清）沈复, 人民文学出版社 ,1999,5.7,8.8,39718,苟不记之笔墨，未免有辜彼苍之厚
送你一颗子弹,刘瑜, 上海三联书店 ,2010,25,8.6,123905,在这本书里，被“审视”的东西杂七杂八
野草,鲁迅, 人民文学出版社 ,1973,0.2,9.3,9828,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
鼠疫,(法)阿尔贝·加缪, 上海译文出版社 ,2013,34,9.1,16306,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
万水千山走遍,三毛, 哈尔滨出版社 ,2003,13.8,8.8,32220,从遥远的撒哈拉到敦煌戈壁
亲爱的安德烈,龙应台, 人民文学出版社 ,2008,26,8.6,98554,弭平代沟，跨越文化阻隔
目送,龙应台, 生活·读书·新知三联书店 ,2009,39,8.6,178031,不必追
情书,[日] 岩井俊二, 天津人民出版社 ,2004,18,8.6,82955,一场同名同姓的误会，两段可贵的爱情
"野火集

                
                   : 二十年纪念版",龙应台, 文汇出版社 ,2005,25,8.8,28922,中国人，你为什么不生气
球状闪电,刘慈欣, 四川科学技术出版社 ,2005,22,8.7,50264,量子之外，没有真相
"昨日的世界

                
                   : 一个欧洲人的回忆",[奥] 斯蒂芬·茨威格, 广西师范大学出版社 ,2004,32,9.2,9091,一个高贵而残破的昨日镜像
经济学原理（上下）,[美] 曼昆, 机械工业出版社 ,2003,88,9.1,13970,经济学家们的世界观
倾城之恋,张爱玲, 北京十月文艺出版社 ,2006,29.8,8.7,32873,“一对平凡的夫妻”之间的“一点真心”
孽子,白先勇, 广西师范大学出版社 ,2010.1,46,9.1,13333,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
绿毛水怪,王小波, 时代文艺出版社 ,2009,30,9,13664,我们好象在池塘的水底，从一个月亮走向另一个月亮
解忧杂货店,[日] 东野圭吾, 南海出版公司 ,2014,39.5,8.5,616467,现代人内心流失的东西，这家杂货店能帮你找回
亮剑,都梁, 解放军文艺出版社 ,2005,28,8.9,18042,面对强大的对手，明知不敌，也要毅然亮剑
"不能承受的生命之轻

                
                   : 中文全译本百万纪念版",米兰·昆德拉, 上海译文出版社 ,2010,29,8.8,26806,无
"激荡三十年

                
                   : 中国企业1978-2008（珍藏图文版）",吴晓波, 中信出版社 ,2008,32,8.6,9361,中国企业1978—2008
面纱,(英)W.萨默塞特·毛姆, 重庆 ,2012,32,8.7,37903,揭去生活的面纱
古文观止,吴楚材,暂无,1987,21,9.1,12563,收录自先秦至明末的散文二百二十二篇
银河系漫游指南,[英] 道格拉斯·亚当斯, 四川科学技术出版社 ,2005,16,8.8,16970,一场穿越银河的冒险
"离开的，留下的

                
                   : 那不勒斯四部曲-03",[意] 埃莱娜·费兰特, 人民文学出版社 ,2017,62,8.7,28601,探索中年的虚无、困惑、野心和近乎残暴的爱
温柔的夜,三毛, 北京十月文艺出版社 ,2007,28,9.1,13736,三毛在加纳利群岛的生活
"麦琪的礼物

                
                   : 欧·亨利短篇小说经典",[美] 欧·亨利, 上海社会科学院出版社 ,2003,25,8.6,55098,日常的奇迹
半生缘,张爱玲, 北京十月文艺出版社 ,2006,28,8.6,66525,世钧，我们回不去了
"枪炮、病菌与钢铁

                
                   : 人类社会的命运",[美] 贾雷德·戴蒙德, 上海世纪出版集团 ,2006,45,8.7,29132,人类社会的命运
我的阿勒泰,李娟, 云南人民出版社 ,2010,22,8.8,16785,描写疆北阿勒泰地区生活和风情的原生态散文集
"渴望生活

                
                   : 梵高传",[美] 欧文·斯通, 北京十月文艺出版社 ,2008,29.8,9.2,8703,梵高悲惨而成就辉煌的人生
阿勒泰的角落,李娟, 万卷出版公司 ,2010,25,9.1,10611,白雪和阳光，青草和白桦林
尼罗河上的惨案,[英] 阿加莎·克里斯蒂, 人民文学出版社 ,2006,22,8.7,34109,阿加莎·克里斯蒂代表作
"民主的细节

                
                   : 美国当代政治观察随笔",刘瑜, 上海三联书店 ,2009,25,8.6,67812,公民养成手册
万物有灵且美,[英] 吉米·哈利, 中国城市出版社 ,2010,28.8,8.8,17665,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
"总统是靠不住的

                
                   : 近距离看美国之二",林达, 生活·读书·新知三联书店 ,2004,21.8,8.8,16881,美国政治法律制度的基本原理和操作细节
最好的我们,八月长安, 湖南文艺出版社 ,2013,55,8.7,52300,耿耿余淮
"全球通史

                
                   : 从史前史到21世纪",(美) 斯塔夫里阿诺斯, 北京大学出版社 ,2012,168,9.1,8420,从史前史到21世纪
"德米安

                
                   : 埃米尔·辛克莱的彷徨少年时",[德] 赫尔曼·黑塞, 上海人民出版社 ,2009,25,9,13552,少年辛克莱寻找通向自身之路的艰辛历程
荆棘鸟,[澳] 考琳·麦卡洛, 译林出版社 ,1998,28,8.6,43582,澳洲乱世情
四世同堂,老舍, 北京十月文艺出版社 ,2008,36,9.3,12640,北平沦陷时代广大平民的悲惨遭遇
"社会心理学

                
                   : （第8版）",[美] 戴维·迈尔斯, 人民邮电出版社 ,2006,68,9,16200,人们是如何思索、影响他人并与他人建立联系的
"天朝的崩溃

                
                   : 鸦片战争再研究",茅海建, 生活·读书·新知三联书店 ,2005,32,9.1,9836,鸦片战争再研究
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯, 广西师范大学出版社 ,2015,36,9,13533,当声称能改造智能的科学实验选中心智障碍主角
霸王别姬,李碧华, 人民文学出版社 ,1999,10.2,9.1,11084,人间，只是抹去了脂粉的脸
罗生门,[日]芥川龙之介, 上海译文出版社 ,2008,12,8.7,43534,人生，远比地狱更像地狱
上学记,何兆武 口述, 生活·读书·新知三联书店 ,2006,19.8,8.9,11790,20世纪中国知识分子的心灵史
倚天屠龙记(共四册),金庸, 三联书店 ,1999,47,8.6,46978,不识张郎是张郎
"我不知道该说什么，关于死亡还是爱情

                
                   : 来自切尔诺贝利的声音",S.A.阿列克谢耶维奇, 花城出版社,2014,27,9,12953,真实记录切尔诺贝利核灾难事件
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯, 上海译文出版社 ,2015,23,8.9,14011,一个谜语，谜底正是时间
"此生未完成

                
                   : 一个母亲、妻子、女儿的生命日记",于娟, 湖南科技出版社 ,2011,26,8.9,15069,一个母亲、妻子、女儿的生命日记
"故事

                
                   : 材质、结构、风格和银幕剧作的原理",[美] 罗伯特·麦基, 天津人民出版社 ,2014,68,9.2,9082,材质、结构、风格和银幕剧作的原理
顾城的诗,顾城, 人民文学出版社 ,1998,20,8.8,17272,火焰是我们诗歌唯一的读者
一句顶一万句,刘震云, 长江文艺出版社 ,2009,29.8,8.7,34868,一句胜过千年
棋王,阿城, 作家出版社 ,1999,13,8.8,19712,我从未真正见过火，也未见过毁灭，更不知新生
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略, 南海出版公司 ,2009,25,8.6,114491,你自己就是最大的宝藏
"正见

                
                   : 佛陀的证悟",宗萨蒋扬钦哲仁波切, 中国友谊出版公司 ,2007,25,8.8,14375,佛陀的证悟
"受戒

                
                   : 汪曾祺自选集",汪曾祺, 漓江出版社 ,1987,3.95,9.2,10758,江南乡镇民间生活，健康淳朴的人性
雨季不再来,三毛, 北京十月文艺出版社 ,2007,28,8.7,37604,三毛少女时代的成长感受
雷雨,曹禺, 人民文学出版社 ,1999,9.2,8.6,56343,一幕人生大悲剧，在一个雷雨夜爆发
"认识电影

                
                   : 插图第11版",[美] 路易斯·贾内梯, 世界图书出版公司 ,2007,68,8.9,12957,电影入门经典之作
水浒传（全二册）,[明] 施耐庵, 人民文学出版社 ,1997,50.6,8.6,54418,替天行道
"黑客与画家

                
                   : 硅谷创业之父Paul Graham文集",[美] Paul Graham, 人民邮电出版社 ,2011,49,8.7,17900,硅谷创业之父Paul Graham文集
理想国,[古希腊] 柏拉图, 商务印书馆 ,1986,28,8.7,20949,人类历史上最早的乌托邦
火星救援,[美] 安迪·威尔, 译林出版社 ,2015,38,8.9,11790,跟火星来一场不是你死就是我活的过家家游戏
草房子,曹文轩, 江苏少年儿童出版社 ,2009,18,9,16023,男孩桑桑刻骨铭心、终身难忘的六年小学生活
一千零一夜,纳训, 人民文学出版社 ,2003,22,8.7,41415,阿拉伯地区的古代民间传说
"青铜时代

                
                   : 时代三部曲",王小波, 花城出版社 ,1997,29,8.7,18885,唐人传奇贯注现代情趣
圣经,三一神, 中国基督教协会 ,1996,0,9,15124,上帝说，要有光
巨流河,齐邦媛, 生活·读书·新知三联书店 ,2010,39,8.7,24390,两代人从巨流河到哑口海的故事
"从一到无穷大

                
                   : 科学中的事实和臆测",[美] G. 伽莫夫, 科学出版社 ,2002,29,9.1,8907,科学中的事实和臆测
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司 ,2013,25,8.7,21223,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
人间草木,汪曾祺, 江苏文艺出版社 ,2005,20,9,13262,我就是要这样香，香得痛痛快快
孙子兵法,孙武, 上海古籍出版社 ,2006,20,9.4,7627,我国最古老最杰出的一部兵书
罪与罚,[俄] 陀思妥耶夫斯基, 上海译文出版社 ,2006,23,9.1,10049,描绘人内心的全部深度
金锁记,张爱玲, 哈尔滨出版社 ,2005,13.5,8.6,47099,一个小商人家庭出身的女子曹七巧的心灵变迁历程
"我的天才女友

                
                   : 那不勒斯四部曲-01",[意] 埃莱娜·费兰特, 人民文学出版社 ,2017,42,8.5,51305,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
"银河帝国：基地七部曲

                
                   : 基地七部曲(""银河帝国""百万册纪念版）",[美] 艾萨克·阿西莫夫, 江苏凤凰文艺出版社 ,2015,328,9.5,4172,阿西莫夫经典科幻小说
中国哲学简史,冯友兰, 新世界出版社 ,2004,38,8.9,14321,中国哲学入门书
茶馆,老舍, 人民文学出版社 ,2002,9.8,9,11817,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
简爱（英文全本）,[英] 夏洛蒂·勃朗特, 世界图书出版公司 ,2003,18,8.5,181551,灰姑娘在十九世纪
设计中的设计,[日] 原研哉, 山东人民出版社 ,2006,48,8.6,28754,日常生活的无限可能性
繁花,金宇澄, 上海文艺出版社 ,2013,48,8.7,17686,海上繁花，请静观静读
额尔古纳河右岸,迟子建, 北京十月文艺出版社 ,2005,29,9,11826,东北少数民族鄂温克人生存现状及百年沧桑
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德, 上海文艺出版社 ,2015,20,9.1,8637,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
失明症漫记,(葡)若泽·萨拉马戈, 南海出版公司 ,2014,29.5,9.1,10058,失明症迅速蔓延，整个城市陷入一场空前的灾难
"狂热分子

                
                   : 群众运动圣经",[美] 埃里克·霍弗, 广西师范大学出版社 ,2011,34,9,9439,探讨群众运动的共有特征
恶意,[日] 东野圭吾, 南海出版公司 ,2009,18,8.4,184847,将手记体叙事的无限可能发挥得淋漓尽致
影响力,[美] 罗伯特·西奥迪尼, 中国人民大学出版社 ,2006,45,8.6,37766,营销防骗指南
"世界的凛冬

                
                   : 世纪三部曲 2",[英] 肯·福莱特, 江苏凤凰文艺出版社 ,2017,132,8.8,18705,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长
ZOO,[日] 乙一, 当代世界出版社 ,2007,20,8.6,32887,噩梦中的一丝温度
毛姆短篇小说精选集,(英)威廉·萨默塞特·毛姆, 译林出版社 ,2012,36,9,7898,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
世界尽头与冷酷仙境,[日] 村上春树, 上海译文出版社 ,2002,23,8.6,36047,交叉平行蒙太奇
"众病之王

                
                   : 癌症传",[美] 悉达多·穆克吉, 中信出版社 ,2013,42,9.1,7614,癌症传
象棋的故事,[奥] 斯台芬·茨威格, 上海译文出版社 ,2007,23,9.1,7945,纳粹法西斯对人心灵的折磨及摧残
强风吹拂,三浦紫苑, 广西师范大学出版社 ,2015,39,9,9931,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
"香水

                
                   : 一个谋杀犯的故事",[德] 帕·聚斯金德, 上海译文出版社 ,2005,20,8.5,35420,每一次谋杀只因迷恋她们身上的味道
"庄子

                
                   : 中华经典藏书",孙通海 译注, 中华书局 ,2007,20,9.4,6787,野马也，尘埃也，生物之以息相吹也
挪威的森林,[日] 村上春树, 上海译文出版社 ,2007,23,8.5,89924,像喜欢春天的熊一样
稻草人手记,三毛, 北京十月文艺出版社 ,2009,18,8.9,13178,三毛在加纳利群岛上的生活
"你一生的故事

                
                   : 特德·姜科幻小说集",[美] 特德·姜, 译林出版社 ,2015,36,8.6,20141,特德·姜科幻小说集
佐贺的超级阿嬷,[日] 岛田洋七, 南海出版公司 ,2007,20,8.7,17155,乐观的外婆却总有神奇的办法
夏洛的网,[美] E.B.怀特, 上海译文出版社 ,2004,17,8.6,48459,一个蜘蛛和小猪的故事，写给孩子，也写给大人
步履不停,[日] 是枝裕和, 北京联合出版公司 ,2017,36.8,8.7,23126,人生路上，步履不停，总有那么一点来不及
论语,无,中华书局,2006,9.8,9,10940,仁远乎哉？我欲仁，斯仁至矣
告白,[日]凑佳苗, 哈尔滨出版社 ,2010年6月,26,8.5,9480,无
多情剑客无情剑(上、中、下),古龙, 海天出版社 ,1991,49.8,8.7,15698,流水滔滔斩不断，情丝百结冲不破
社会契约论,卢梭, 商务印书馆 ,2003,18,8.8,12559,一个国家只能有一个契约
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克, 中国社会科学出版社 ,1997,16,8.8,11981,古典自由主义杰作
牡丹亭,汤显祖, 人民文学出版社 ,1963,14.5,9,8507,不到园林，怎知春色如许
欢乐英雄,古龙, 珠海出版社 ,2005,28,8.8,12261,坚持自己的信念，在贫穷中获得欢乐与友谊
荒原狼,[德]赫尔曼·黑塞, 上海译文出版社 ,2008,13,9,9366,“超现实主义”风格作品，德国的《尤利西斯》
人类的群星闪耀时,[奥] 斯蒂芬·茨威格, 广西师范大学出版社 ,2004,18,8.7,18263,十四个影响人类文明的瞬间
当呼吸化为空气,[美] 保罗·卡拉尼什, 猫头鹰文化·浙江文艺出版社 ,2016,48,8.8,14338,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
