name,author,press,year,price,score,num,quote
当呼吸化为空气,[美] 保罗·卡拉尼什, 猫头鹰文化·浙江文艺出版社 , 2016, 48.00,8.8,14713,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
荒原狼,[德]赫尔曼·黑塞, 上海译文出版社 , 2008, 13.00,9.0,9521,“超现实主义”风格作品，德国的《尤利西斯》
金阁寺,[日] 三岛由纪夫, 上海译文出版社 , 2009, 24.00,8.7,18862,他的犯罪动机是对美的嫉妒
一个人的村庄,刘亮程, 春风文艺出版社 , 2006, 28.00,8.9,11034,他是真正的作家，也是真正的农民
老人与海,海明威, 上海译文出版社 , 1999, 8.20,8.4,149800,正是悲壮赋予生活以意义
"美国宪政历程

                
                   : 影响美国的25个司法大案",任东来, 中国法制出版社 , 2014, 35.00,9.1,6501,25个案例异彩纷呈，美国宪政的酸甜苦辣尽在其中
"批评官员的尺度

                
                   : 《纽约时报》诉警察局长沙利文案",[美] 安东尼·刘易斯, 北京大学出版社 , 2011, 32.00,8.9,8188,新闻自由史上的里程碑案件：《纽约时报》诉沙利文案
故事新编,鲁迅, 人民文学出版社 , 1973, 0.31 ,9.2,6792,拾取古代传说，取一点因由，随意点染
"别闹了，费曼先生

                
                   : 科学顽童的故事",费曼, 生活·读书·新知三联书店 , 1997, 22.00,8.9,8193,科学顽童的故事
西方哲学史（上卷）,[英] 罗素, 商务印书馆 , 1963, 25.00,8.9,11104,西方哲学史及其与从古代到现代的政治、社会情况的联系
过于喧嚣的孤独,(捷克) 赫拉巴尔, 北京十月文艺出版社 , 2011, 22.00,8.8,10331,我为它而活着，并为写它推迟了我的死亡
哈姆莱特,[英] 莎士比亚, 人民文学出版社 , 2001, 7.00,8.6,34032,生存还是毁灭，这是一个值得思考的问题
长袜子皮皮,[瑞典] 阿斯特丽德·林格伦, 中国少年儿童出版社 , 1999, 17.80,9.0,7352,无
美丽新世界,[英] 阿道司·赫胥黎, 重庆出版社 , 2005, 20.00,8.6,19725,最经典的反乌托邦文学之一
骆驼祥子,老舍, 人民文学出版社 , 2000, 12.00,8.4,144162,旧中国老北京贫苦市民的典型命运
2001太空漫游,[英] 阿瑟·克拉克, 上海人民出版社 , 2007, 28.00,9.1,6256,科幻三巨头之一阿瑟·克拉克代表作
海底两万里,[法国] 儒尔·凡尔纳, 译林出版社 , 2002, 19.50,8.5,76042,你听说过鹦鹉螺号吗？
尘埃落定,阿来, 人民文学出版社 , 1998, 22.0,8.5,50039,一个傻子的土司家族传奇
心理学与生活,[美] 理查德·格里格, 人民邮电出版社 , 2003, 88.00,8.8,15717,是教科书，也是通俗易懂的好读物
"规训与惩罚

                
                   : 监狱的诞生",[法] 米歇尔·福柯, 生活·读书·新知三联书店 , 2003, 21.80,9.2,5813,伴随着惩罚的人性化，自由反而日益丧失了
那些回不去的年少时光·终场,桐华, 江苏文艺出版社 , 2010, 23.80,8.7,18462,青春的逝去并不可怕，可怕的是失去了勇敢地热爱生活的心
心是孤独的猎手,[美] 卡森·麦卡勒斯, 上海三联书店 , 2005, 25.00,8.5,28275,镇上有两个哑巴，他们总是在一起
呼啸山庄,（英）勃朗特, 人民文学出版社 , 1999, 27.30,8.4,100121,近乎暴虐的爱与恨
社会性动物,Elliot Aronson, 华东师范大学出版社 , 2007, 45.00,9.1,7841,美国社会心理学的《圣经》
小姨多鹤,严歌苓, 作家出版社 , 2008, 28.00,8.6,27053,两个女人的史诗
娱乐至死,[美] 尼尔·波兹曼, 广西师范大学出版社 , 2011, 29.80,8.5,33049,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸
棋王·树王·孩子王,阿城, 江苏文艺出版社 , 2016, 58.00,9.2,7254,无
陆小凤传奇,古龙, 珠海出版社 , 2005, 94.00,8.7,16417,“我是陆小凤，四条眉毛的陆小凤。”
了不起的盖茨比,[美] 斯科特·菲茨杰拉德, 南海出版公司 , 2012, 25.00,8.7,20102,无
